Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
226,1,2,Febrero,Ventas y conversión,7,33,Martes,2027-02-16,Carrusel,Fiscalidad,Ahorro legal,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Ahorro legal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
227,1,2,Febrero,Ventas y conversión,7,33,Miércoles,2027-02-17,Post,Mentalidad,Claridad,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Claridad aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
228,1,2,Febrero,Ventas y conversión,7,33,Jueves,2027-02-18,Reel,Storytelling,Experiencia propia,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Experiencia propia para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
229,1,2,Febrero,Ventas y conversión,7,33,Viernes,2027-02-19,Carrusel,IA,ChatGPT,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar ChatGPT para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
230,1,2,Febrero,Ventas y conversión,7,33,Sábado,2027-02-20,Post,Marca personal,Valores,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Valores conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
231,1,2,Febrero,Ventas y conversión,7,33,Domingo,2027-02-21,Reel,Venta,Prueba,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Prueba como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
232,1,2,Febrero,Ventas y conversión,8,34,Lunes,2027-02-22,Reel,Marketing,Contenido,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Contenido impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
233,1,2,Febrero,Ventas y conversión,8,34,Martes,2027-02-23,Carrusel,Fiscalidad,Autónomos,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Autónomos en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
234,1,2,Febrero,Ventas y conversión,8,34,Miércoles,2027-02-24,Post,Mentalidad,Paciencia,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Paciencia aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
235,1,2,Febrero,Ventas y conversión,8,34,Jueves,2027-02-25,Reel,Storytelling,Decisión difícil,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Decisión difícil para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
236,1,2,Febrero,Ventas y conversión,8,34,Viernes,2027-02-26,Carrusel,IA,Email,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Email para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
237,1,2,Febrero,Ventas y conversión,8,34,Sábado,2027-02-27,Post,Marca personal,Behind the scenes,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Behind the scenes conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
238,1,2,Febrero,Ventas y conversión,8,34,Domingo,2027-02-28,Reel,Venta,Consultoría,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Consultoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
239,1,3,Marzo,Orden y procesos,9,35,Lunes,2027-03-01,Reel,Marketing,Autoridad,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Autoridad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
240,1,3,Marzo,Orden y procesos,9,35,Martes,2027-03-02,Carrusel,Fiscalidad,Planificación fiscal,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Planificación fiscal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
241,1,3,Marzo,Orden y procesos,9,35,Miércoles,2027-03-03,Post,Mentalidad,Disciplina,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Disciplina aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
242,1,3,Marzo,Orden y procesos,9,35,Jueves,2027-03-04,Reel,Storytelling,Aprendizaje real,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Aprendizaje real para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
243,1,3,Marzo,Orden y procesos,9,35,Viernes,2027-03-05,Carrusel,IA,Prompts,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Prompts para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
244,1,3,Marzo,Orden y procesos,9,35,Sábado,2027-03-06,Post,Marca personal,Reflexión,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Reflexión conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
245,1,3,Marzo,Orden y procesos,9,35,Domingo,2027-03-07,Reel,Venta,Problema,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Problema como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
246,1,3,Marzo,Orden y procesos,10,36,Lunes,2027-03-08,Reel,Marketing,Embudo,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Embudo impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
247,1,3,Marzo,Orden y procesos,10,36,Martes,2027-03-09,Carrusel,Fiscalidad,Gastos deducibles,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar Gastos deducibles en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
248,1,3,Marzo,Orden y procesos,10,36,Miércoles,2027-03-10,Post,Mentalidad,Orden,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Orden aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
249,1,3,Marzo,Orden y procesos,10,36,Jueves,2027-03-11,Reel,Storytelling,Momento de claridad,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Momento de claridad para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
250,1,3,Marzo,Orden y procesos,10,36,Viernes,2027-03-12,Carrusel,IA,Productividad,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Productividad para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
251,1,3,Marzo,Orden y procesos,10,36,Sábado,2027-03-13,Post,Marca personal,Visión,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Visión conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
252,1,3,Marzo,Orden y procesos,10,36,Domingo,2027-03-14,Reel,Venta,Decisión,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Decisión como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
253,1,3,Marzo,Orden y procesos,11,37,Lunes,2027-03-15,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
254,1,3,Marzo,Orden y procesos,11,37,Martes,2027-03-16,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
255,1,3,Marzo,Orden y procesos,11,37,Miércoles,2027-03-17,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
256,1,3,Marzo,Orden y procesos,11,37,Jueves,2027-03-18,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
257,1,3,Marzo,Orden y procesos,11,37,Viernes,2027-03-19,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
258,1,3,Marzo,Orden y procesos,11,37,Sábado,2027-03-20,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
259,1,3,Marzo,Orden y procesos,11,37,Domingo,2027-03-21,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
260,1,3,Marzo,Orden y procesos,12,38,Lunes,2027-03-22,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
261,1,3,Marzo,Orden y procesos,12,38,Martes,2027-03-23,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
262,1,3,Marzo,Orden y procesos,12,38,Miércoles,2027-03-24,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
263,1,3,Marzo,Orden y procesos,12,38,Jueves,2027-03-25,Reel,Storytelling,Conversación real,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Conversación real para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
264,1,3,Marzo,Orden y procesos,12,38,Viernes,2027-03-26,Carrusel,IA,Asistentes IA,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Asistentes IA para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
265,1,3,Marzo,Orden y procesos,12,38,Sábado,2027-03-27,Post,Marca personal,Tu historia,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Tu historia conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
266,1,3,Marzo,Orden y procesos,12,38,Domingo,2027-03-28,Reel,Venta,CTA,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar CTA como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
267,1,3,Marzo,Orden y procesos,13,39,Lunes,2027-03-29,Reel,Marketing,Posicionamiento,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Posicionamiento impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
268,1,3,Marzo,Orden y procesos,13,39,Martes,2027-03-30,Carrusel,Fiscalidad,Errores fiscales,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Errores fiscales en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
269,1,3,Marzo,Orden y procesos,13,39,Miércoles,2027-03-31,Post,Mentalidad,Resiliencia,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Resiliencia aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
270,1,4,Abril,Visibilidad y marca,13,39,Jueves,2027-04-01,Reel,Storytelling,Cambio de visión,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Cambio de visión para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
271,1,4,Abril,Visibilidad y marca,13,39,Viernes,2027-04-02,Carrusel,IA,Ideas de contenido,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar Ideas de contenido para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
272,1,4,Abril,Visibilidad y marca,13,39,Sábado,2027-04-03,Post,Marca personal,Universo,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Universo conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
273,1,4,Abril,Visibilidad y marca,13,39,Domingo,2027-04-04,Reel,Venta,Mentoría,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Mentoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
274,1,4,Abril,Visibilidad y marca,14,40,Lunes,2027-04-05,Reel,Marketing,Conversión,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Conversión impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
275,1,4,Abril,Visibilidad y marca,14,40,Martes,2027-04-06,Carrusel,Fiscalidad,Inspecciones,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Inspecciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
276,1,4,Abril,Visibilidad y marca,14,40,Miércoles,2027-04-07,Post,Mentalidad,Límites,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Límites aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
277,1,4,Abril,Visibilidad y marca,14,40,Jueves,2027-04-08,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
278,1,4,Abril,Visibilidad y marca,14,40,Viernes,2027-04-09,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
279,1,4,Abril,Visibilidad y marca,14,40,Sábado,2027-04-10,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
280,1,4,Abril,Visibilidad y marca,14,40,Domingo,2027-04-11,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
281,1,4,Abril,Visibilidad y marca,15,41,Lunes,2027-04-12,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
282,1,4,Abril,Visibilidad y marca,15,41,Martes,2027-04-13,Carrusel,Fiscalidad,Sociedades,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Sociedades en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
283,1,4,Abril,Visibilidad y marca,15,41,Miércoles,2027-04-14,Post,Mentalidad,Identidad,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Identidad aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
284,1,4,Abril,Visibilidad y marca,15,41,Jueves,2027-04-15,Reel,Storytelling,Lección de negocio,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Lección de negocio para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
285,1,4,Abril,Visibilidad y marca,15,41,Viernes,2027-04-16,Carrusel,IA,Análisis,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Análisis para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
286,1,4,Abril,Visibilidad y marca,15,41,Sábado,2027-04-17,Post,Marca personal,Lecciones personales,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Lecciones personales conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
287,1,4,Abril,Visibilidad y marca,15,41,Domingo,2027-04-18,Reel,Venta,Precio,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Precio como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
288,1,4,Abril,Visibilidad y marca,16,42,Lunes,2027-04-19,Reel,Marketing,Diferenciación,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Diferenciación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
289,1,4,Abril,Visibilidad y marca,16,42,Martes,2027-04-20,Carrusel,Fiscalidad,IVA,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar IVA en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
290,1,4,Abril,Visibilidad y marca,16,42,Miércoles,2027-04-21,Post,Mentalidad,Hábitos,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Hábitos aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
291,1,4,Abril,Visibilidad y marca,16,42,Jueves,2027-04-22,Reel,Storytelling,Antes y después,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Antes y después para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
292,1,4,Abril,Visibilidad y marca,16,42,Viernes,2027-04-23,Carrusel,IA,Procesos,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Procesos para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
293,1,4,Abril,Visibilidad y marca,16,42,Sábado,2027-04-24,Post,Marca personal,Creencias,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Creencias conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
294,1,4,Abril,Visibilidad y marca,16,42,Domingo,2027-04-25,Reel,Venta,Consecuencia,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Consecuencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
295,1,4,Abril,Visibilidad y marca,17,43,Lunes,2027-04-26,Reel,Marketing,Instagram,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Instagram impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
296,1,4,Abril,Visibilidad y marca,17,43,Martes,2027-04-27,Carrusel,Fiscalidad,Facturación,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar Facturación en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
297,1,4,Abril,Visibilidad y marca,17,43,Miércoles,2027-04-28,Post,Mentalidad,Energía,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Energía aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
298,1,4,Abril,Visibilidad y marca,17,43,Jueves,2027-04-29,Reel,Storytelling,Historia breve,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Historia breve para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
299,1,4,Abril,Visibilidad y marca,17,43,Viernes,2027-04-30,Carrusel,IA,Sistemas,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Sistemas para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
300,1,5,Mayo,Rentabilidad y foco,17,43,Sábado,2027-05-01,Post,Marca personal,Autenticidad,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Autenticidad conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
301,1,5,Mayo,Rentabilidad y foco,17,43,Domingo,2027-05-02,Reel,Venta,Objeciones,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Objeciones como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
