Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
274,2027-04-05,Lunes,40,Abril,Marketing,"Conversión — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo conversión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por conversión bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
275,2027-04-06,Martes,40,Abril,Fiscalidad,"Inspecciones — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar inspecciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con inspecciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
276,2027-04-07,Miércoles,40,Abril,Mentalidad,Límites — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre límites, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Límites no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
277,2027-04-08,Jueves,40,Abril,Storytelling,"Caso cliente — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo caso cliente afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre caso cliente me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
278,2027-04-09,Viernes,40,Abril,IA,"Automatización — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar automatización en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso automatización para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
279,2027-04-10,Sábado,40,Abril,Marca personal,Rutina — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre rutina, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de rutina, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
280,2027-04-11,Domingo,40,Abril,Venta,Oferta — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo oferta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con oferta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
281,2027-04-12,Lunes,41,Abril,Marketing,"Leads — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo leads afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por leads bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
282,2027-04-13,Martes,41,Abril,Fiscalidad,Sociedades — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar sociedades en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con sociedades, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
283,2027-04-14,Miércoles,41,Abril,Mentalidad,Identidad — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre identidad, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Identidad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
284,2027-04-15,Jueves,41,Abril,Storytelling,Lección de negocio — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo lección de negocio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre lección de negocio me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
285,2027-04-16,Viernes,41,Abril,IA,Análisis — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar análisis en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso análisis para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
286,2027-04-17,Sábado,41,Abril,Marca personal,Lecciones personales — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre lecciones personales, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de lecciones personales, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
287,2027-04-18,Domingo,41,Abril,Venta,Precio — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo precio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con precio, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
288,2027-04-19,Lunes,42,Abril,Marketing,Diferenciación — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por diferenciación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
289,2027-04-20,Martes,42,Abril,Fiscalidad,IVA — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar iva en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con iva, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
290,2027-04-21,Miércoles,42,Abril,Mentalidad,Hábitos — La motivación no sostiene un negocio,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre hábitos, conectando la idea con tu experiencia real y tu visión de negocio.","La motivación no sostiene un negocio. Hábitos no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
291,2027-04-22,Jueves,42,Abril,Storytelling,Antes y después — Un cliente estuvo a punto de cerrar y el problema no era el impuesto,Reel,"Gancho (0-2s): ""Un cliente estuvo a punto de cerrar y el problema no era el impuesto"". Desarrollo (3-15s): Explica cómo antes y después afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Un cliente estuvo a punto de cerrar y el problema no era el impuesto. Esta historia sobre antes y después me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
292,2027-04-23,Viernes,42,Abril,IA,Procesos — La mayoría usa ChatGPT mal por este motivo,Carrusel,"Portada: ""La mayoría usa ChatGPT mal por este motivo"". Slides 2-6: desarrollar procesos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La mayoría usa ChatGPT mal por este motivo. Así uso procesos para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
293,2027-04-24,Sábado,42,Abril,Marca personal,Creencias — No todo lo importante cabe en un KPI,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre creencias, conectando la idea con tu experiencia real y tu visión de negocio.","No todo lo importante cabe en un KPI. Hoy quiero hablarte de creencias, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
294,2027-04-25,Domingo,42,Abril,Venta,Consecuencia — Seguir igual también tiene un precio,Reel,"Gancho (0-2s): ""Seguir igual también tiene un precio"". Desarrollo (3-15s): Explica cómo consecuencia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Seguir igual también tiene un precio. Si tu negocio tiene relación con consecuencia, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
295,2027-04-26,Lunes,43,Abril,Marketing,Instagram — No necesitas más seguidores,Reel,"Gancho (0-2s): ""No necesitas más seguidores"". Desarrollo (3-15s): Explica cómo instagram afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. No necesitas más seguidores. Todo empieza por instagram bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
296,2027-04-27,Martes,43,Abril,Fiscalidad,Facturación — Lo que Hacienda no te perdona aunque factures poco,Carrusel,"Portada: ""Lo que Hacienda no te perdona aunque factures poco"". Slides 2-6: desarrollar facturación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Lo que Hacienda no te perdona aunque factures poco. Esto pasa constantemente con facturación, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
297,2027-04-28,Miércoles,43,Abril,Mentalidad,Energía — Tus hábitos también aparecen en tu facturación,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre energía, conectando la idea con tu experiencia real y tu visión de negocio.","Tus hábitos también aparecen en tu facturación. Energía no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
298,2027-04-29,Jueves,43,Abril,Storytelling,Historia breve — Esta historia explica por qué vender no basta,Reel,"Gancho (0-2s): ""Esta historia explica por qué vender no basta"". Desarrollo (3-15s): Explica cómo historia breve afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Esta historia explica por qué vender no basta. Esta historia sobre historia breve me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
299,2027-04-30,Viernes,43,Abril,IA,Sistemas — Automatizar no es deshumanizar,Carrusel,"Portada: ""Automatizar no es deshumanizar"". Slides 2-6: desarrollar sistemas en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Automatizar no es deshumanizar. Así uso sistemas para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
300,2027-05-01,Sábado,43,Mayo,Marca personal,Autenticidad — La autoridad también se siente antes de demostrarse,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre autenticidad, conectando la idea con tu experiencia real y tu visión de negocio.","La autoridad también se siente antes de demostrarse. Hoy quiero hablarte de autenticidad, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
301,2027-05-02,Domingo,43,Mayo,Venta,"Objeciones — Si tu negocio factura pero no crece, mira esto",Reel,"Gancho (0-2s): ""Si tu negocio factura pero no crece, mira esto"". Desarrollo (3-15s): Explica cómo objeciones afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Si tu negocio factura pero no crece, mira esto. Si tu negocio tiene relación con objeciones, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
302,2027-05-03,Lunes,44,Mayo,Marketing,Captación — Publicar más no arregla un mensaje débil,Reel,"Gancho (0-2s): ""Publicar más no arregla un mensaje débil"". Desarrollo (3-15s): Explica cómo captación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Publicar más no arregla un mensaje débil. Todo empieza por captación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
303,2027-05-04,Martes,44,Mayo,Fiscalidad,Deducciones — Muchos pagan más impuestos por no entender esto,Carrusel,"Portada: ""Muchos pagan más impuestos por no entender esto"". Slides 2-6: desarrollar deducciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Muchos pagan más impuestos por no entender esto. Esto pasa constantemente con deducciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
304,2027-05-05,Miércoles,44,Mayo,Mentalidad,Consistencia — Querer crecer sin enfoque es agotador,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre consistencia, conectando la idea con tu experiencia real y tu visión de negocio.","Querer crecer sin enfoque es agotador. Consistencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
305,2027-05-06,Jueves,44,Mayo,Storytelling,Observación empresarial — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo observación empresarial afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre observación empresarial me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
306,2027-05-07,Viernes,44,Mayo,IA,Investigación — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar investigación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso investigación para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
307,2027-05-08,Sábado,44,Mayo,Marca personal,"Naturaleza — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre naturaleza, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de naturaleza, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
308,2027-05-09,Domingo,44,Mayo,Venta,"Diferenciación — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con diferenciación, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
309,2027-05-10,Lunes,45,Mayo,Marketing,"Mensaje — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo mensaje afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por mensaje bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
310,2027-05-11,Martes,45,Mayo,Fiscalidad,Ahorro legal — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar ahorro legal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con ahorro legal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
311,2027-05-12,Miércoles,45,Mayo,Mentalidad,Claridad — No todo cansancio viene de trabajar mucho,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre claridad, conectando la idea con tu experiencia real y tu visión de negocio.","No todo cansancio viene de trabajar mucho. Claridad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
312,2027-05-13,Jueves,45,Mayo,Storytelling,"Experiencia propia — A veces el error no está en el trabajo, sino en la estrategia",Reel,"Gancho (0-2s): ""A veces el error no está en el trabajo, sino en la estrategia"". Desarrollo (3-15s): Explica cómo experiencia propia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","A veces el error no está en el trabajo, sino en la estrategia. Esta historia sobre experiencia propia me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
313,2027-05-14,Viernes,45,Mayo,IA,ChatGPT — 5 formas de usar IA en un negocio real,Carrusel,"Portada: ""5 formas de usar IA en un negocio real"". Slides 2-6: desarrollar chatgpt en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",5 formas de usar IA en un negocio real. Así uso chatgpt para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
314,2027-05-15,Sábado,45,Mayo,Marca personal,"Valores — Tu historia también vende, si sabes contarla",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre valores, conectando la idea con tu experiencia real y tu visión de negocio.","Tu historia también vende, si sabes contarla. Hoy quiero hablarte de valores, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
315,2027-05-16,Domingo,45,Mayo,Venta,"Prueba — El problema no es vender, es lo que pasa antes y después",Reel,"Gancho (0-2s): ""El problema no es vender, es lo que pasa antes y después"". Desarrollo (3-15s): Explica cómo prueba afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","El problema no es vender, es lo que pasa antes y después. Si tu negocio tiene relación con prueba, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
316,2027-05-17,Lunes,46,Mayo,Marketing,"Contenido — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo contenido afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por contenido bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
317,2027-05-18,Martes,46,Mayo,Fiscalidad,"Autónomos — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar autónomos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con autónomos, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
318,2027-05-19,Miércoles,46,Mayo,Mentalidad,Paciencia — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre paciencia, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Paciencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
319,2027-05-20,Jueves,46,Mayo,Storytelling,"Decisión difícil — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo decisión difícil afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre decisión difícil me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
320,2027-05-21,Viernes,46,Mayo,IA,"Email — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar email en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso email para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
321,2027-05-22,Sábado,46,Mayo,Marca personal,Behind the scenes — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre behind the scenes, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de behind the scenes, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
322,2027-05-23,Domingo,46,Mayo,Venta,Consultoría — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo consultoría afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con consultoría, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
323,2027-05-24,Lunes,47,Mayo,Marketing,"Autoridad — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo autoridad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por autoridad bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
324,2027-05-25,Martes,47,Mayo,Fiscalidad,Planificación fiscal — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar planificación fiscal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con planificación fiscal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
325,2027-05-26,Miércoles,47,Mayo,Mentalidad,Disciplina — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre disciplina, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Disciplina no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
326,2027-05-27,Jueves,47,Mayo,Storytelling,Aprendizaje real — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo aprendizaje real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre aprendizaje real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
327,2027-05-28,Viernes,47,Mayo,IA,Prompts — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar prompts en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso prompts para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
328,2027-05-29,Sábado,47,Mayo,Marca personal,Reflexión — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre reflexión, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de reflexión, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
